vx vy vz
9.98927 0.0213389 0
9.96582 0.0362622 0
9.9342 0.0433467 0
9.8935 0.0485368 0
9.84605 0.053397 0
9.79341 0.0581011 0
9.73578 0.0626173 0
9.67295 0.0669831 0
9.60486 0.0712601 0
9.53155 0.0754886 0
9.45298 0.0796926 0
9.36905 0.0838949 0
9.27959 0.0881216 0
9.18439 0.0924003 0
9.08322 0.0967603 0
8.97579 0.101233 0
8.86176 0.105852 0
8.74074 0.110657 0
8.61226 0.115692 0
8.47578 0.121005 0
8.33068 0.126652 0
8.17623 0.132694 0
8.01161 0.139199 0
7.83586 0.146239 0
7.64789 0.15389 0
7.44649 0.162228 0
7.23025 0.171318 0
6.99769 0.18121 0
6.74714 0.191915 0
6.47689 0.203389 0
6.18524 0.215495 0
5.87057 0.227971 0
5.53155 0.240375 0
5.16736 0.252034 0
4.77791 0.262009 0
4.36419 0.269084 0
3.92861 0.271803 0
3.47528 0.268573 0
3.01024 0.257865 0
2.54152 0.238503 0
2.07897 0.210037 0
1.63383 0.173124 0
1.21792 0.129851 0
0.842674 0.083861 0
0.517735 0.0401641 0
0.249156 0.00474084 0
0.0357447 -0.0163492 0
-0.130363 -0.0188388 0
-0.266771 -0.00699701 0
-0.380135 0.0087018 0
-0.475408 0.017886 0
-0.556352 0.0187156 0
-0.625659 0.0144329 0
-0.684598 0.00832488 0
-0.732733 0.0020282 0
-0.76899 -0.00329751 0
-0.794179 -0.00568779 0
-0.812951 -0.00251594 0
-0.833654 0.00752608 0
-0.866275 0.0229427 0
-0.91893 0.0395704 0
-0.994791 0.0519893 0
-1.09016 0.0553133 0
-1.19411 0.0463978 0
-1.28749 0.0230343 0
-1.34342 -0.0153465 0
-1.3331 -0.0651982 0
-1.2485 -0.12374 0
-1.07188 -0.191238 0
-0.794478 -0.263401 0
-0.423486 -0.328819 0
0.0176103 -0.368798 0
0.487118 -0.361425 0
0.919871 -0.299407 0
1.24107 -0.18668 0
1.40022 -0.0266707 0
1.27499 0.115913 0
0.962062 0.172823 0
0.676107 0.117563 0
0.501417 0.0279415 0
0.274152 0.0563658 0
-0.23382 0.277404 0
-0.979953 0.4442 0
-1.81382 0.504297 0
-2.60183 0.465865 0
-3.2645 0.36489 0
-3.75469 0.233975 0
-4.05204 0.0977519 0
-4.14813 -0.0287628 0
-4.04661 -0.140332 0
-3.80871 -0.238071 0
-3.40925 -0.335591 0
-2.85248 -0.431488 0
-2.15163 -0.517182 0
-1.34954 -0.571415 0
-0.519521 -0.56223 0
0.213465 -0.465452 0
0.731068 -0.231625 0
0.825747 0.104216 0
0.414051 0.284406 0
10.0047 0.00750375 0
10.0197 0.018628 0
10.0359 0.0263901 0
10.0508 0.0330218 0
10.0645 0.039529 0
10.0775 0.045922 0
10.0896 0.0521285 0
10.1005 0.0582478 0
10.1099 0.0644208 0
10.1178 0.0707388 0
10.124 0.0772569 0
10.1284 0.0840252 0
10.1307 0.0910995 0
10.1308 0.0985389 0
10.1284 0.106405 0
10.1235 0.114765 0
10.1157 0.123692 0
10.1047 0.133274 0
10.0903 0.143606 0
10.0722 0.154803 0
10.0499 0.166994 0
10.0229 0.180331 0
9.99076 0.194989 0
9.9528 0.211167 0
9.90823 0.229092 0
9.85613 0.249016 0
9.79535 0.271214 0
9.72451 0.295974 0
9.64193 0.32358 0
9.54557 0.354287 0
9.43297 0.388282 0
9.30122 0.425622 0
9.14691 0.466166 0
8.96614 0.509473 0
8.75461 0.554708 0
8.50779 0.600542 0
8.22118 0.645078 0
7.89074 0.685827 0
7.51339 0.719777 0
7.0876 0.743581 0
6.61396 0.753878 0
6.09569 0.747733 0
5.53887 0.723142 0
4.95257 0.679527 0
4.34869 0.618119 0
3.74182 0.542228 0
3.14876 0.457262 0
2.58796 0.371034 0
2.07775 0.292025 0
1.63134 0.227295 0
1.25215 0.18019 0
0.933596 0.149295 0
0.66467 0.129279 0
0.43532 0.11341 0
0.238192 0.0967271 0
0.0679856 0.0780725 0
-0.0801198 0.060868 0
-0.211347 0.0524534 0
-0.329854 0.0580803 0
-0.440138 0.0777105 0
-0.546424 0.105714 0
-0.650849 0.132426 0
-0.751545 0.146711 0
-0.842787 0.140688 0
-0.91879 0.108874 0
-0.975438 0.048063 0
-1.00924 -0.0418406 0
-0.990808 -0.159721 0
-0.899596 -0.302301 0
-0.723773 -0.456633 0
-0.46274 -0.59687 0
-0.133153 -0.684806 0
0.231201 -0.678741 0
0.57685 -0.550561 0
0.836916 -0.309531 0
0.959676 0.00387736 0
0.975238 0.287932 0
0.773161 0.411269 0
0.395169 0.374137 0
-0.14107 0.473211 0
-0.927394 0.802291 0
-1.85188 1.11137 0
-2.73928 1.22699 0
-3.45377 1.15942 0
-3.95297 0.971353 0
-4.25869 0.729572 0
-4.41839 0.476116 0
-4.4798 0.230162 0
-4.47742 -0.00363355 0
-4.41883 -0.227978 0
-4.24374 -0.448485 0
-3.9536 -0.673662 0
-3.53434 -0.89779 0
-2.98329 -1.09835 0
-2.31361 -1.22595 0
-1.56547 -1.20436 0
-0.817061 -0.954934 0
-0.1808 -0.428965 0
0.262204 0.260526 0
0.315115 0.699094 0
9.99996 0.0056747 0
9.99948 0.0154201 0
9.99763 0.0232435 0
9.9934 0.0301634 0
9.98669 0.036923 0
9.97783 0.0436719 0
9.96705 0.050409 0
9.95437 0.0572096 0
9.93978 0.0641773 0
9.92335 0.0713822 0
9.90516 0.0788664 0
9.88528 0.0866698 0
9.86378 0.0948402 0
9.84072 0.103432 0
9.81618 0.112506 0
9.79023 0.12213 0
9.76295 0.132384 0
9.73443 0.143361 0
9.70477 0.155172 0
9.67408 0.167949 0
9.64247 0.181844 0
9.61007 0.197044 0
9.57705 0.213767 0
9.54358 0.232272 0
9.50983 0.252862 0
9.47604 0.275894 0
9.4424 0.301777 0
9.40914 0.330977 0
9.37645 0.364011 0
9.34443 0.401432 0
9.31304 0.443802 0
9.28199 0.491645 0
9.25059 0.545383 0
9.21755 0.605234 0
9.18079 0.671086 0
9.13715 0.742345 0
9.08216 0.81778 0
9.00992 0.895389 0
8.91311 0.972338 0
8.78313 1.045 0
8.61067 1.10916 0
8.38637 1.16037 0
8.10179 1.19439 0
7.75043 1.2078 0
7.3288 1.19833 0
6.83741 1.16522 0
6.28176 1.10927 0
5.673 1.03274 0
5.02833 0.939063 0
4.3699 0.833099 0
3.72252 0.721446 0
3.11031 0.612067 0
2.55268 0.512689 0
2.06052 0.428512 0
1.63473 0.360682 0
1.2687 0.306962 0
0.95325 0.264863 0
0.680876 0.234516 0
0.446842 0.21806 0
0.247383 0.216646 0
0.0778345 0.226933 0
-0.0687109 0.239815 0
-0.199619 0.243187 0
-0.320268 0.226735 0
-0.434383 0.182266 0
-0.540012 0.103685 0
-0.626999 -0.0159221 0
-0.678553 -0.181762 0
-0.677167 -0.389114 0
-0.607784 -0.618999 0
-0.463274 -0.833786 0
-0.250748 -0.979329 0
0.00502549 -0.993397 0
0.258738 -0.827561 0
0.44312 -0.487704 0
0.500884 -0.0507403 0
0.433283 0.387744 0
0.188671 0.685311 0
-0.321526 0.908118 0
-1.10217 1.28896 0
-2.00089 1.69401 0
-2.78935 1.89516 0
-3.35763 1.82963 0
-3.71994 1.57511 0
-3.95043 1.2357 0
-4.11604 0.885457 0
-4.24811 0.557057 0
-4.34527 0.25313 0
-4.39067 -0.0383364 0
-4.37005 -0.332557 0
-4.27625 -0.643088 0
-4.10298 -0.970865 0
-3.8399 -1.31098 0
-3.4735 -1.63798 0
-2.98911 -1.89059 0
-2.37883 -1.96153 0
-1.66045 -1.71397 0
-0.910939 -1.05137 0
-0.282361 -0.0608846 0
0.0941993 0.80656 0
9.99984 0.00584921 0
9.99863 0.0172727 0
9.99592 0.0280532 0
9.99103 0.0383228 0
9.98365 0.0483954 0
9.97384 0.0584145 0
9.96167 0.0683967 0
9.94713 0.0783673 0
9.93015 0.0883837 0
9.9107 0.0985037 0
9.88878 0.108773 0
9.86438 0.119234 0
9.83747 0.129932 0
9.80805 0.140919 0
9.77609 0.152252 0
9.74157 0.163991 0
9.70449 0.176206 0
9.66485 0.188976 0
9.62264 0.202392 0
9.57789 0.21656 0
9.53065 0.231604 0
9.48097 0.247665 0
9.42897 0.264911 0
9.37478 0.283539 0
9.31861 0.303778 0
9.26075 0.325897 0
9.20158 0.350209 0
