v ccx ccy ccz
v 1.39 0.11 0.05
v 1.41 0.11 0.05
v 1.43 0.11 0.05
v 1.45 0.11 0.05
v 1.47 0.11 0.05
v 1.49 0.11 0.05
v 1.51 0.11 0.05
v 1.53 0.11 0.05
v 1.55 0.11 0.05
v 1.57 0.11 0.05
v 1.59 0.11 0.05
v 1.61 0.11 0.05
v 1.63 0.11 0.05
v 1.65 0.11 0.05
v 1.67 0.11 0.05
v 1.69 0.11 0.05
v 1.71 0.11 0.05
v 1.73 0.11 0.05
v 1.75 0.11 0.05
v 1.77 0.11 0.05
v 1.79 0.11 0.05
v 1.81 0.11 0.05
v 1.83 0.11 0.05
v 1.85 0.11 0.05
v 1.87 0.11 0.05
v 1.89 0.11 0.05
v 1.91 0.11 0.05
v 1.93 0.11 0.05
v 1.95 0.11 0.05
v 1.97 0.11 0.05
v 1.99 0.11 0.05
v 0.01 0.13 0.05
v 0.03 0.13 0.05
v 0.05 0.13 0.05
v 0.07 0.13 0.05
v 0.09 0.13 0.05
v 0.11 0.13 0.05
v 0.13 0.13 0.05
v 0.15 0.13 0.05
v 0.17 0.13 0.05
v 0.19 0.13 0.05
v 0.21 0.13 0.05
v 0.23 0.13 0.05
v 0.25 0.13 0.05
v 0.27 0.13 0.05
v 0.29 0.13 0.05
v 0.31 0.13 0.05
v 0.33 0.13 0.05
v 0.35 0.13 0.05
v 0.37 0.13 0.05
v 0.39 0.13 0.05
v 0.41 0.13 0.05
v 0.43 0.13 0.05
v 0.45 0.13 0.05
v 0.47 0.13 0.05
v 0.49 0.13 0.05
v 0.51 0.13 0.05
v 0.53 0.13 0.05
v 0.55 0.13 0.05
v 0.57 0.13 0.05
v 0.59 0.13 0.05
v 0.61 0.13 0.05
v 0.63 0.13 0.05
v 0.65 0.13 0.05
v 0.67 0.13 0.05
v 0.69 0.13 0.05
v 0.71 0.13 0.05
v 0.73 0.13 0.05
v 0.75 0.13 0.05
v 0.77 0.13 0.05
v 0.79 0.13 0.05
v 0.81 0.13 0.05
v 0.83 0.13 0.05
v 0.85 0.13 0.05
v 0.87 0.13 0.05
v 0.89 0.13 0.05
v 0.91 0.13 0.05
v 0.93 0.13 0.05
v 0.95 0.13 0.05
v 0.97 0.13 0.05
v 0.99 0.13 0.05
v 1.01 0.13 0.05
v 1.03 0.13 0.05
v 1.05 0.13 0.05
v 1.07 0.13 0.05
v 1.09 0.13 0.05
v 1.11 0.13 0.05
v 1.13 0.13 0.05
v 1.15 0.13 0.05
v 1.17 0.13 0.05
v 1.19 0.13 0.05
v 1.21 0.13 0.05
v 1.23 0.13 0.05
v 1.25 0.13 0.05
v 1.27 0.13 0.05
v 1.29 0.13 0.05
v 1.31 0.13 0.05
v 1.33 0.13 0.05
v 1.35 0.13 0.05
v 1.37 0.13 0.05
v 1.39 0.13 0.05
v 1.41 0.13 0.05
v 1.43 0.13 0.05
v 1.45 0.13 0.05
v 1.47 0.13 0.05
v 1.49 0.13 0.05
v 1.51 0.13 0.05
v 1.53 0.13 0.05
v 1.55 0.13 0.05
v 1.57 0.13 0.05
v 1.59 0.13 0.05
v 1.61 0.13 0.05
v 1.63 0.13 0.05
v 1.65 0.13 0.05
v 1.67 0.13 0.05
v 1.69 0.13 0.05
v 1.71 0.13 0.05
v 1.73 0.13 0.05
v 1.75 0.13 0.05
v 1.77 0.13 0.05
v 1.79 0.13 0.05
v 1.81 0.13 0.05
v 1.83 0.13 0.05
v 1.85 0.13 0.05
v 1.87 0.13 0.05
v 1.89 0.13 0.05
v 1.91 0.13 0.05
v 1.93 0.13 0.05
v 1.95 0.13 0.05
v 1.97 0.13 0.05
v 1.99 0.13 0.05
v 0.01 0.15 0.05
v 0.03 0.15 0.05
v 0.05 0.15 0.05
v 0.07 0.15 0.05
v 0.09 0.15 0.05
v 0.11 0.15 0.05
v 0.13 0.15 0.05
v 0.15 0.15 0.05
v 0.17 0.15 0.05
v 0.19 0.15 0.05
v 0.21 0.15 0.05
v 0.23 0.15 0.05
v 0.25 0.15 0.05
v 0.27 0.15 0.05
v 0.29 0.15 0.05
v 0.31 0.15 0.05
v 0.33 0.15 0.05
v 0.35 0.15 0.05
v 0.37 0.15 0.05
v 0.39 0.15 0.05
v 0.41 0.15 0.05
v 0.43 0.15 0.05
v 0.45 0.15 0.05
v 0.47 0.15 0.05
v 0.49 0.15 0.05
v 0.51 0.15 0.05
v 0.53 0.15 0.05
v 0.55 0.15 0.05
v 0.57 0.15 0.05
v 0.59 0.15 0.05
v 0.61 0.15 0.05
v 0.63 0.15 0.05
v 0.65 0.15 0.05
v 0.67 0.15 0.05
v 0.69 0.15 0.05
v 0.71 0.15 0.05
v 0.73 0.15 0.05
v 0.75 0.15 0.05
v 0.77 0.15 0.05
v 0.79 0.15 0.05
v 0.81 0.15 0.05
v 0.83 0.15 0.05
v 0.85 0.15 0.05
v 0.87 0.15 0.05
v 0.89 0.15 0.05
v 0.91 0.15 0.05
v 0.93 0.15 0.05
v 0.95 0.15 0.05
v 0.97 0.15 0.05
v 0.99 0.15 0.05
v 1.01 0.15 0.05
v 1.03 0.15 0.05
v 1.05 0.15 0.05
