v ccx ccy ccz
v 1.85 1.43 0.05
v 1.87 1.43 0.05
v 1.89 1.43 0.05
v 1.91 1.43 0.05
v 1.93 1.43 0.05
v 1.95 1.43 0.05
v 1.97 1.43 0.05
v 1.99 1.43 0.05
v 0.01 1.45 0.05
v 0.03 1.45 0.05
v 0.05 1.45 0.05
v 0.07 1.45 0.05
v 0.09 1.45 0.05
v 0.11 1.45 0.05
v 0.13 1.45 0.05
v 0.15 1.45 0.05
v 0.17 1.45 0.05
v 0.19 1.45 0.05
v 0.21 1.45 0.05
v 0.23 1.45 0.05
v 0.25 1.45 0.05
v 0.27 1.45 0.05
v 0.29 1.45 0.05
v 0.31 1.45 0.05
v 0.33 1.45 0.05
v 0.35 1.45 0.05
v 0.37 1.45 0.05
v 0.39 1.45 0.05
v 0.41 1.45 0.05
v 0.43 1.45 0.05
v 0.45 1.45 0.05
v 0.47 1.45 0.05
v 0.49 1.45 0.05
v 0.51 1.45 0.05
v 0.53 1.45 0.05
v 0.55 1.45 0.05
v 0.57 1.45 0.05
v 0.59 1.45 0.05
v 0.61 1.45 0.05
v 0.63 1.45 0.05
v 0.65 1.45 0.05
v 0.67 1.45 0.05
v 0.69 1.45 0.05
v 0.71 1.45 0.05
v 0.73 1.45 0.05
v 0.75 1.45 0.05
v 0.77 1.45 0.05
v 0.79 1.45 0.05
v 0.81 1.45 0.05
v 0.83 1.45 0.05
v 0.85 1.45 0.05
v 0.87 1.45 0.05
v 0.89 1.45 0.05
v 0.91 1.45 0.05
v 0.93 1.45 0.05
v 0.95 1.45 0.05
v 0.97 1.45 0.05
v 0.99 1.45 0.05
v 1.01 1.45 0.05
v 1.03 1.45 0.05
v 1.05 1.45 0.05
v 1.07 1.45 0.05
v 1.09 1.45 0.05
v 1.11 1.45 0.05
v 1.13 1.45 0.05
v 1.15 1.45 0.05
v 1.17 1.45 0.05
v 1.19 1.45 0.05
v 1.21 1.45 0.05
v 1.23 1.45 0.05
v 1.25 1.45 0.05
v 1.27 1.45 0.05
v 1.29 1.45 0.05
v 1.31 1.45 0.05
v 1.33 1.45 0.05
v 1.35 1.45 0.05
v 1.37 1.45 0.05
v 1.39 1.45 0.05
v 1.41 1.45 0.05
v 1.43 1.45 0.05
v 1.45 1.45 0.05
v 1.47 1.45 0.05
v 1.49 1.45 0.05
v 1.51 1.45 0.05
v 1.53 1.45 0.05
v 1.55 1.45 0.05
v 1.57 1.45 0.05
v 1.59 1.45 0.05
v 1.61 1.45 0.05
v 1.63 1.45 0.05
v 1.65 1.45 0.05
v 1.67 1.45 0.05
v 1.69 1.45 0.05
v 1.71 1.45 0.05
v 1.73 1.45 0.05
v 1.75 1.45 0.05
v 1.77 1.45 0.05
v 1.79 1.45 0.05
v 1.81 1.45 0.05
v 1.83 1.45 0.05
v 1.85 1.45 0.05
v 1.87 1.45 0.05
v 1.89 1.45 0.05
v 1.91 1.45 0.05
v 1.93 1.45 0.05
v 1.95 1.45 0.05
v 1.97 1.45 0.05
v 1.99 1.45 0.05
v 0.01 1.47 0.05
v 0.03 1.47 0.05
v 0.05 1.47 0.05
v 0.07 1.47 0.05
v 0.09 1.47 0.05
v 0.11 1.47 0.05
v 0.13 1.47 0.05
v 0.15 1.47 0.05
v 0.17 1.47 0.05
v 0.19 1.47 0.05
v 0.21 1.47 0.05
v 0.23 1.47 0.05
v 0.25 1.47 0.05
v 0.27 1.47 0.05
v 0.29 1.47 0.05
v 0.31 1.47 0.05
v 0.33 1.47 0.05
v 0.35 1.47 0.05
v 0.37 1.47 0.05
v 0.39 1.47 0.05
v 0.41 1.47 0.05
v 0.43 1.47 0.05
v 0.45 1.47 0.05
v 0.47 1.47 0.05
v 0.49 1.47 0.05
v 0.51 1.47 0.05
v 0.53 1.47 0.05
v 0.55 1.47 0.05
v 0.57 1.47 0.05
v 0.59 1.47 0.05
v 0.61 1.47 0.05
v 0.63 1.47 0.05
v 0.65 1.47 0.05
v 0.67 1.47 0.05
v 0.69 1.47 0.05
v 0.71 1.47 0.05
v 0.73 1.47 0.05
v 0.75 1.47 0.05
v 0.77 1.47 0.05
v 0.79 1.47 0.05
v 0.81 1.47 0.05
v 0.83 1.47 0.05
v 0.85 1.47 0.05
v 0.87 1.47 0.05
v 0.89 1.47 0.05
v 0.91 1.47 0.05
v 0.93 1.47 0.05
v 0.95 1.47 0.05
v 0.97 1.47 0.05
v 0.99 1.47 0.05
v 1.01 1.47 0.05
v 1.03 1.47 0.05
v 1.05 1.47 0.05
v 1.07 1.47 0.05
v 1.09 1.47 0.05
v 1.11 1.47 0.05
v 1.13 1.47 0.05
v 1.15 1.47 0.05
v 1.17 1.47 0.05
v 1.19 1.47 0.05
v 1.21 1.47 0.05
v 1.23 1.47 0.05
v 1.25 1.47 0.05
v 1.27 1.47 0.05
v 1.29 1.47 0.05
v 1.31 1.47 0.05
v 1.33 1.47 0.05
v 1.35 1.47 0.05
v 1.37 1.47 0.05
v 1.39 1.47 0.05
v 1.41 1.47 0.05
v 1.43 1.47 0.05
v 1.45 1.47 0.05
v 1.47 1.47 0.05
v 1.49 1.47 0.05
v 1.51 1.47 0.05
v 1.53 1.47 0.05
v 1.55 1.47 0.05
v 1.57 1.47 0.05
v 1.59 1.47 0.05
v 1.61 1.47 0.05
v 1.63 1.47 0.05
v 1.65 1.47 0.05
v 1.67 1.47 0.05
v 1.69 1.47 0.05
v 1.71 1.47 0.05
v 1.73 1.47 0.05
v 1.75 1.47 0.05
v 1.77 1.47 0.05
v 1.79 1.47 0.05
v 1.81 1.47 0.05
v 1.83 1.47 0.05
v 1.85 1.47 0.05
v 1.87 1.47 0.05
v 1.89 1.47 0.05
v 1.91 1.47 0.05
v 1.93 1.47 0.05
v 1.95 1.47 0.05
v 1.97 1.47 0.05
v 1.99 1.47 0.05
v 0.01 1.49 0.05
v 0.03 1.49 0.05
v 0.05 1.49 0.05
v 0.07 1.49 0.05
v 0.09 1.49 0.05
v 0.11 1.49 0.05
v 0.13 1.49 0.05
v 0.15 1.49 0.05
v 0.17 1.49 0.05
v 0.19 1.49 0.05
v 0.21 1.49 0.05
v 0.23 1.49 0.05
v 0.25 1.49 0.05
v 0.27 1.49 0.05
v 0.29 1.49 0.05
v 0.31 1.49 0.05
v 0.33 1.49 0.05
v 0.35 1.49 0.05
v 0.37 1.49 0.05
v 0.39 1.49 0.05
v 0.41 1.49 0.05
v 0.43 1.49 0.05
v 0.45 1.49 0.05
v 0.47 1.49 0.05
v 0.49 1.49 0.05
v 0.51 1.49 0.05
v 0.53 1.49 0.05
v 0.55 1.49 0.05
v 0.57 1.49 0.05
v 0.59 1.49 0.05
v 0.61 1.49 0.05
v 0.63 1.49 0.05
v 0.65 1.49 0.05
v 0.67 1.49 0.05
v 0.69 1.49 0.05
v 0.71 1.49 0.05
v 0.73 1.49 0.05
v 0.75 1.49 0.05
v 0.77 1.49 0.05
v 0.79 1.49 0.05
v 0.81 1.49 0.05
v 0.83 1.49 0.05
v 0.85 1.49 0.05
v 0.87 1.49 0.05
v 0.89 1.49 0.05
v 0.91 1.49 0.05
v 0.93 1.49 0.05
v 0.95 1.49 0.05
v 0.97 1.49 0.05
v 0.99 1.49 0.05
v 1.01 1.49 0.05
v 1.03 1.49 0.05
v 1.05 1.49 0.05
v 1.07 1.49 0.05
v 1.09 1.49 0.05
v 1.11 1.49 0.05
v 1.13 1.49 0.05
v 1.15 1.49 0.05
v 1.17 1.49 0.05
v 1.19 1.49 0.05
v 1.21 1.49 0.05
v 1.23 1.49 0.05
v 1.25 1.49 0.05
v 1.27 1.49 0.05
v 1.29 1.49 0.05
v 1.31 1.49 0.05
v 1.33 1.49 0.05
v 1.35 1.49 0.05
v 1.37 1.49 0.05
v 1.39 1.49 0.05
v 1.41 1.49 0.05
v 1.43 1.49 0.05
v 1.45 1.49 0.05
v 1.47 1.49 0.05
v 1.49 1.49 0.05
v 1.51 1.49 0.05
v 1.53 1.49 0.05
v 1.55 1.49 0.05
v 1.57 1.49 0.05
v 1.59 1.49 0.05
v 1.61 1.49 0.05
v 1.63 1.49 0.05
v 1.65 1.49 0.05
v 1.67 1.49 0.05
v 1.69 1.49 0.05
v 1.71 1.49 0.05
v 1.73 1.49 0.05
v 1.75 1.49 0.05
v 1.77 1.49 0.05
v 1.79 1.49 0.05
v 1.81 1.49 0.05
v 1.83 1.49 0.05
v 1.85 1.49 0.05
v 1.87 1.49 0.05
v 1.89 1.49 0.05
v 1.91 1.49 0.05
v 1.93 1.49 0.05
v 1.95 1.49 0.05
v 1.97 1.49 0.05
v 1.99 1.49 0.05
v 0.01 1.51 0.05
v 0.03 1.51 0.05
v 0.05 1.51 0.05
v 0.07 1.51 0.05
v 0.09 1.51 0.05
v 0.11 1.51 0.05
v 0.13 1.51 0.05
v 0.15 1.51 0.05
v 0.17 1.51 0.05
v 0.19 1.51 0.05
v 0.21 1.51 0.05
v 0.23 1.51 0.05
v 0.25 1.51 0.05
v 0.27 1.51 0.05
v 0.29 1.51 0.05
v 0.31 1.51 0.05
v 0.33 1.51 0.05
v 0.35 1.51 0.05
v 0.37 1.51 0.05
v 0.39 1.51 0.05
v 0.41 1.51 0.05
v 0.43 1.51 0.05
v 0.45 1.51 0.05
v 0.47 1.51 0.05
v 0.49 1.51 0.05
v 0.51 1.51 0.05
v 0.53 1.51 0.05
v 0.55 1.51 0.05
v 0.57 1.51 0.05
v 0.59 1.51 0.05
v 0.61 1.51 0.05
v 0.63 1.51 0.05
v 0.65 1.51 0.05
v 0.67 1.51 0.05
v 0.69 1.51 0.05
v 0.71 1.51 0.05
v 0.73 1.51 0.05
v 0.75 1.51 0.05
v 0.77 1.51 0.05
v 0.79 1.51 0.05
v 0.81 1.51 0.05
v 0.83 1.51 0.05
v 0.85 1.51 0.05
v 0.87 1.51 0.05
v 0.89 1.51 0.05
v 0.91 1.51 0.05
v 0.93 1.51 0.05
v 0.95 1.51 0.05
v 0.97 1.51 0.05
v 0.99 1.51 0.05
v 1.01 1.51 0.05
v 1.03 1.51 0.05
v 1.05 1.51 0.05
v 1.07 1.51 0.05
v 1.09 1.51 0.05
v 1.11 1.51 0.05
v 1.13 1.51 0.05
v 1.15 1.51 0.05
v 1.17 1.51 0.05
v 1.19 1.51 0.05
v 1.21 1.51 0.05
v 1.23 1.51 0.05
v 1.25 1.51 0.05
v 1.27 1.51 0.05
v 1.29 1.51 0.05
v 1.31 1.51 0.05
v 1.33 1.51 0.05
v 1.35 1.51 0.05
v 1.37 1.51 0.05
v 1.39 1.51 0.05
v 1.41 1.51 0.05
v 1.43 1.51 0.05
v 1.45 1.51 0.05
v 1.47 1.51 0.05
v 1.49 1.51 0.05
v 1.51 1.51 0.05
v 1.53 1.51 0.05
v 1.55 1.51 0.05
v 1.57 1.51 0.05
v 1.59 1.51 0.05
v 1.61 1.51 0.05
v 1.63 1.51 0.05
v 1.65 1.51 0.05
v 1.67 1.51 0.05
v 1.69 1.51 0.05
v 1.71 1.51 0.05
v 1.73 1.51 0.05
v 1.75 1.51 0.05
v 1.77 1.51 0.05
v 1.79 1.51 0.05
v 1.81 1.51 0.05
v 1.83 1.51 0.05
v 1.85 1.51 0.05
v 1.87 1.51 0.05
v 1.89 1.51 0.05
v 1.91 1.51 0.05
v 1.93 1.51 0.05
v 1.95 1.51 0.05
v 1.97 1.51 0.05
v 1.99 1.51 0.05
v 0.01 1.53 0.05
v 0.03 1.53 0.05
v 0.05 1.53 0.05
v 0.07 1.53 0.05
v 0.09 1.53 0.05
v 0.11 1.53 0.05
v 0.13 1.53 0.05
v 0.15 1.53 0.05
v 0.17 1.53 0.05
v 0.19 1.53 0.05
v 0.21 1.53 0.05
v 0.23 1.53 0.05
v 0.25 1.53 0.05
v 0.27 1.53 0.05
v 0.29 1.53 0.05
v 0.31 1.53 0.05
v 0.33 1.53 0.05
v 0.35 1.53 0.05
v 0.37 1.53 0.05
v 0.39 1.53 0.05
v 0.41 1.53 0.05
v 0.43 1.53 0.05
v 0.45 1.53 0.05
v 0.47 1.53 0.05
v 0.49 1.53 0.05
v 0.51 1.53 0.05
v 0.53 1.53 0.05
v 0.55 1.53 0.05
v 0.57 1.53 0.05
v 0.59 1.53 0.05
v 0.61 1.53 0.05
v 0.63 1.53 0.05
v 0.65 1.53 0.05
v 0.67 1.53 0.05
v 0.69 1.53 0.05
v 0.71 1.53 0.05
v 0.73 1.53 0.05
v 0.75 1.53 0.05
v 0.77 1.53 0.05
v 0.79 1.53 0.05
v 0.81 1.53 0.05
v 0.83 1.53 0.05
v 0.85 1.53 0.05
v 0.87 1.53 0.05
v 0.89 1.53 0.05
v 0.91 1.53 0.05
v 0.93 1.53 0.05
v 0.95 1.53 0.05
v 0.97 1.53 0.05
v 0.99 1.53 0.05
v 1.01 1.53 0.05
v 1.03 1.53 0.05
v 1.05 1.53 0.05
v 1.07 1.53 0.05
v 1.09 1.53 0.05
v 1.11 1.53 0.05
v 1.13 1.53 0.05
v 1.15 1.53 0.05
v 1.17 1.53 0.05
v 1.19 1.53 0.05
v 1.21 1.53 0.05
v 1.23 1.53 0.05
v 1.25 1.53 0.05
v 1.27 1.53 0.05
v 1.29 1.53 0.05
v 1.31 1.53 0.05
v 1.33 1.53 0.05
v 1.35 1.53 0.05
v 1.37 1.53 0.05
v 1.39 1.53 0.05
v 1.41 1.53 0.05
v 1.43 1.53 0.05
v 1.45 1.53 0.05
v 1.47 1.53 0.05
v 1.49 1.53 0.05
v 1.51 1.53 0.05
v 1.53 1.53 0.05
v 1.55 1.53 0.05
v 1.57 1.53 0.05
v 1.59 1.53 0.05
v 1.61 1.53 0.05
v 1.63 1.53 0.05
v 1.65 1.53 0.05
v 1.67 1.53 0.05
v 1.69 1.53 0.05
v 1.71 1.53 0.05
v 1.73 1.53 0.05
v 1.75 1.53 0.05
v 1.77 1.53 0.05
v 1.79 1.53 0.05
v 1.81 1.53 0.05
v 1.83 1.53 0.05
v 1.85 1.53 0.05
v 1.87 1.53 0.05
v 1.89 1.53 0.05
v 1.91 1.53 0.05
v 1.93 1.53 0.05
v 1.95 1.53 0.05
v 1.97 1.53 0.05
v 1.99 1.53 0.05
v 0.01 1.55 0.05
v 0.03 1.55 0.05
v 0.05 1.55 0.05
v 0.07 1.55 0.05
v 0.09 1.55 0.05
v 0.11 1.55 0.05
v 0.13 1.55 0.05
v 0.15 1.55 0.05
v 0.17 1.55 0.05
v 0.19 1.55 0.05
v 0.21 1.55 0.05
v 0.23 1.55 0.05
v 0.25 1.55 0.05
v 0.27 1.55 0.05
v 0.29 1.55 0.05
v 0.31 1.55 0.05
v 0.33 1.55 0.05
v 0.35 1.55 0.05
v 0.37 1.55 0.05
v 0.39 1.55 0.05
v 0.41 1.55 0.05
v 0.43 1.55 0.05
v 0.45 1.55 0.05
v 0.47 1.55 0.05
v 0.49 1.55 0.05
v 0.51 1.55 0.05
v 0.53 1.55 0.05
v 0.55 1.55 0.05
v 0.57 1.55 0.05
v 0.59 1.55 0.05
v 0.61 1.55 0.05
v 0.63 1.55 0.05
v 0.65 1.55 0.05
v 0.67 1.55 0.05
v 0.69 1.55 0.05
v 0.71 1.55 0.05
v 0.73 1.55 0.05
v 0.75 1.55 0.05
v 0.77 1.55 0.05
v 0.79 1.55 0.05
v 0.81 1.55 0.05
v 0.83 1.55 0.05
v 0.85 1.55 0.05
v 0.87 1.55 0.05
v 0.89 1.55 0.05
v 0.91 1.55 0.05
v 0.93 1.55 0.05
v 0.95 1.55 0.05
v 0.97 1.55 0.05
v 0.99 1.55 0.05
v 1.01 1.55 0.05
v 1.03 1.55 0.05
v 1.05 1.55 0.05
v 1.07 1.55 0.05
v 1.09 1.55 0.05
v 1.11 1.55 0.05
v 1.13 1.55 0.05
v 1.15 1.55 0.05
v 1.17 1.55 0.05
v 1.19 1.55 0.05
v 1.21 1.55 0.05
v 1.23 1.55 0.05
v 1.25 1.55 0.05
v 1.27 1.55 0.05
v 1.29 1.55 0.05
v 1.31 1.55 0.05
v 1.33 1.55 0.05
v 1.35 1.55 0.05
v 1.37 1.55 0.05
v 1.39 1.55 0.05
v 1.41 1.55 0.05
v 1.43 1.55 0.05
v 1.45 1.55 0.05
v 1.47 1.55 0.05
v 1.49 1.55 0.05
v 1.51 1.55 0.05
v 1.53 1.55 0.05
v 1.55 1.55 0.05
v 1.57 1.55 0.05
v 1.59 1.55 0.05
v 1.61 1.55 0.05
v 1.63 1.55 0.05
v 1.65 1.55 0.05
v 1.67 1.55 0.05
v 1.69 1.55 0.05
v 1.71 1.55 0.05
v 1.73 1.55 0.05
v 1.75 1.55 0.05
v 1.77 1.55 0.05
v 1.79 1.55 0.05
v 1.81 1.55 0.05
v 1.83 1.55 0.05
v 1.85 1.55 0.05
v 1.87 1.55 0.05
v 1.89 1.55 0.05
v 1.91 1.55 0.05
v 1.93 1.55 0.05
v 1.95 1.55 0.05
v 1.97 1.55 0.05
v 1.99 1.55 0.05
v 0.01 1.57 0.05
v 0.03 1.57 0.05
v 0.05 1.57 0.05
v 0.07 1.57 0.05
v 0.09 1.57 0.05
v 0.11 1.57 0.05
v 0.13 1.57 0.05
v 0.15 1.57 0.05
v 0.17 1.57 0.05
v 0.19 1.57 0.05
v 0.21 1.57 0.05
v 0.23 1.57 0.05
v 0.25 1.57 0.05
v 0.27 1.57 0.05
v 0.29 1.57 0.05
v 0.31 1.57 0.05
v 0.33 1.57 0.05
v 0.35 1.57 0.05
v 0.37 1.57 0.05
v 0.39 1.57 0.05
v 0.41 1.57 0.05
v 0.43 1.57 0.05
v 0.45 1.57 0.05
v 0.47 1.57 0.05
v 0.49 1.57 0.05
v 0.51 1.57 0.05
v 0.53 1.57 0.05
v 0.55 1.57 0.05
v 0.57 1.57 0.05
v 0.59 1.57 0.05
v 0.61 1.57 0.05
v 0.63 1.57 0.05
v 0.65 1.57 0.05
v 0.67 1.57 0.05
v 0.69 1.57 0.05
v 0.71 1.57 0.05
v 0.73 1.57 0.05
v 0.75 1.57 0.05
v 0.77 1.57 0.05
v 0.79 1.57 0.05
v 0.81 1.57 0.05
v 0.83 1.57 0.05
v 0.85 1.57 0.05
v 0.87 1.57 0.05
v 0.89 1.57 0.05
v 0.91 1.57 0.05
v 0.93 1.57 0.05
v 0.95 1.57 0.05
v 0.97 1.57 0.05
v 0.99 1.57 0.05
v 1.01 1.57 0.05
v 1.03 1.57 0.05
v 1.05 1.57 0.05
v 1.07 1.57 0.05
v 1.09 1.57 0.05
v 1.11 1.57 0.05
v 1.13 1.57 0.05
v 1.15 1.57 0.05
v 1.17 1.57 0.05
v 1.19 1.57 0.05
v 1.21 1.57 0.05
v 1.23 1.57 0.05
v 1.25 1.57 0.05
v 1.27 1.57 0.05
v 1.29 1.57 0.05
v 1.31 1.57 0.05
v 1.33 1.57 0.05
v 1.35 1.57 0.05
v 1.37 1.57 0.05
v 1.39 1.57 0.05
v 1.41 1.57 0.05
v 1.43 1.57 0.05
v 1.45 1.57 0.05
v 1.47 1.57 0.05
v 1.49 1.57 0.05
v 1.51 1.57 0.05
v 1.53 1.57 0.05
v 1.55 1.57 0.05
v 1.57 1.57 0.05
v 1.59 1.57 0.05
v 1.61 1.57 0.05
v 1.63 1.57 0.05
v 1.65 1.57 0.05
v 1.67 1.57 0.05
v 1.69 1.57 0.05
v 1.71 1.57 0.05
v 1.73 1.57 0.05
v 1.75 1.57 0.05
v 1.77 1.57 0.05
v 1.79 1.57 0.05
v 1.81 1.57 0.05
v 1.83 1.57 0.05
v 1.85 1.57 0.05
v 1.87 1.57 0.05
v 1.89 1.57 0.05
v 1.91 1.57 0.05
v 1.93 1.57 0.05
v 1.95 1.57 0.05
v 1.97 1.57 0.05
v 1.99 1.57 0.05
v 0.01 1.59 0.05
v 0.03 1.59 0.05
v 0.05 1.59 0.05
v 0.07 1.59 0.05
v 0.09 1.59 0.05
v 0.11 1.59 0.05
v 0.13 1.59 0.05
v 0.15 1.59 0.05
v 0.17 1.59 0.05
v 0.19 1.59 0.05
v 0.21 1.59 0.05
v 0.23 1.59 0.05
v 0.25 1.59 0.05
v 0.27 1.59 0.05
v 0.29 1.59 0.05
v 0.31 1.59 0.05
v 0.33 1.59 0.05
v 0.35 1.59 0.05
v 0.37 1.59 0.05
v 0.39 1.59 0.05
v 0.41 1.59 0.05
v 0.43 1.59 0.05
v 0.45 1.59 0.05
v 0.47 1.59 0.05
v 0.49 1.59 0.05
v 0.51 1.59 0.05
v 0.53 1.59 0.05
v 0.55 1.59 0.05
v 0.57 1.59 0.05
v 0.59 1.59 0.05
v 0.61 1.59 0.05
v 0.63 1.59 0.05
v 0.65 1.59 0.05
v 0.67 1.59 0.05
v 0.69 1.59 0.05
v 0.71 1.59 0.05
v 0.73 1.59 0.05
v 0.75 1.59 0.05
v 0.77 1.59 0.05
v 0.79 1.59 0.05
v 0.81 1.59 0.05
v 0.83 1.59 0.05
v 0.85 1.59 0.05
v 0.87 1.59 0.05
v 0.89 1.59 0.05
v 0.91 1.59 0.05
v 0.93 1.59 0.05
v 0.95 1.59 0.05
v 0.97 1.59 0.05
v 0.99 1.59 0.05
v 1.01 1.59 0.05
v 1.03 1.59 0.05
v 1.05 1.59 0.05
v 1.07 1.59 0.05
v 1.09 1.59 0.05
v 1.11 1.59 0.05
v 1.13 1.59 0.05
v 1.15 1.59 0.05
v 1.17 1.59 0.05
v 1.19 1.59 0.05
v 1.21 1.59 0.05
v 1.23 1.59 0.05
v 1.25 1.59 0.05
v 1.27 1.59 0.05
v 1.29 1.59 0.05
v 1.31 1.59 0.05
v 1.33 1.59 0.05
v 1.35 1.59 0.05
v 1.37 1.59 0.05
v 1.39 1.59 0.05
v 1.41 1.59 0.05
v 1.43 1.59 0.05
v 1.45 1.59 0.05
v 1.47 1.59 0.05
v 1.49 1.59 0.05
v 1.51 1.59 0.05
v 1.53 1.59 0.05
v 1.55 1.59 0.05
v 1.57 1.59 0.05
v 1.59 1.59 0.05
v 1.61 1.59 0.05
v 1.63 1.59 0.05
v 1.65 1.59 0.05
v 1.67 1.59 0.05
v 1.69 1.59 0.05
v 1.71 1.59 0.05
v 1.73 1.59 0.05
v 1.75 1.59 0.05
v 1.77 1.59 0.05
v 1.79 1.59 0.05
v 1.81 1.59 0.05
v 1.83 1.59 0.05
v 1.85 1.59 0.05
v 1.87 1.59 0.05
v 1.89 1.59 0.05
v 1.91 1.59 0.05
v 1.93 1.59 0.05
v 1.95 1.59 0.05
v 1.97 1.59 0.05
v 1.99 1.59 0.05
v 0.01 1.61 0.05
v 0.03 1.61 0.05
v 0.05 1.61 0.05
v 0.07 1.61 0.05
v 0.09 1.61 0.05
v 0.11 1.61 0.05
v 0.13 1.61 0.05
v 0.15 1.61 0.05
v 0.17 1.61 0.05
v 0.19 1.61 0.05
v 0.21 1.61 0.05
v 0.23 1.61 0.05
v 0.25 1.61 0.05
v 0.27 1.61 0.05
v 0.29 1.61 0.05
v 0.31 1.61 0.05
v 0.33 1.61 0.05
v 0.35 1.61 0.05
v 0.37 1.61 0.05
v 0.39 1.61 0.05
v 0.41 1.61 0.05
v 0.43 1.61 0.05
v 0.45 1.61 0.05
v 0.47 1.61 0.05
v 0.49 1.61 0.05
v 0.51 1.61 0.05
v 0.53 1.61 0.05
v 0.55 1.61 0.05
v 0.57 1.61 0.05
v 0.59 1.61 0.05
v 0.61 1.61 0.05
v 0.63 1.61 0.05
v 0.65 1.61 0.05
v 0.67 1.61 0.05
v 0.69 1.61 0.05
v 0.71 1.61 0.05
v 0.73 1.61 0.05
v 0.75 1.61 0.05
v 0.77 1.61 0.05
v 0.79 1.61 0.05
v 0.81 1.61 0.05
v 0.83 1.61 0.05
v 0.85 1.61 0.05
v 0.87 1.61 0.05
v 0.89 1.61 0.05
v 0.91 1.61 0.05
v 0.93 1.61 0.05
v 0.95 1.61 0.05
v 0.97 1.61 0.05
v 0.99 1.61 0.05
v 1.01 1.61 0.05
v 1.03 1.61 0.05
v 1.05 1.61 0.05
v 1.07 1.61 0.05
v 1.09 1.61 0.05
v 1.11 1.61 0.05
v 1.13 1.61 0.05
v 1.15 1.61 0.05
v 1.17 1.61 0.05
v 1.19 1.61 0.05
v 1.21 1.61 0.05
v 1.23 1.61 0.05
v 1.25 1.61 0.05
v 1.27 1.61 0.05
v 1.29 1.61 0.05
v 1.31 1.61 0.05
v 1.33 1.61 0.05
v 1.35 1.61 0.05
v 1.37 1.61 0.05
v 1.39 1.61 0.05
v 1.41 1.61 0.05
v 1.43 1.61 0.05
v 1.45 1.61 0.05
v 1.47 1.61 0.05
v 1.49 1.61 0.05
v 1.51 1.61 0.05
v 1.53 1.61 0.05
v 1.55 1.61 0.05
v 1.57 1.61 0.05
v 1.59 1.61 0.05
v 1.61 1.61 0.05
v 1.63 1.61 0.05
v 1.65 1.61 0.05
v 1.67 1.61 0.05
v 1.69 1.61 0.05
v 1.71 1.61 0.05
v 1.73 1.61 0.05
v 1.75 1.61 0.05
v 1.77 1.61 0.05
v 1.79 1.61 0.05
v 1.81 1.61 0.05
v 1.83 1.61 0.05
v 1.85 1.61 0.05
v 1.87 1.61 0.05
v 1.89 1.61 0.05
v 1.91 1.61 0.05
v 1.93 1.61 0.05
v 1.95 1.61 0.05
v 1.97 1.61 0.05
v 1.99 1.61 0.05
v 0.01 1.63 0.05
v 0.03 1.63 0.05
v 0.05 1.63 0.05
v 0.07 1.63 0.05
v 0.09 1.63 0.05
v 0.11 1.63 0.05
v 0.13 1.63 0.05
v 0.15 1.63 0.05
v 0.17 1.63 0.05
v 0.19 1.63 0.05
v 0.21 1.63 0.05
v 0.23 1.63 0.05
v 0.25 1.63 0.05
v 0.27 1.63 0.05
v 0.29 1.63 0.05
v 0.31 1.63 0.05
v 0.33 1.63 0.05
v 0.35 1.63 0.05
v 0.37 1.63 0.05
v 0.39 1.63 0.05
v 0.41 1.63 0.05
v 0.43 1.63 0.05
v 0.45 1.63 0.05
v 0.47 1.63 0.05
v 0.49 1.63 0.05
v 0.51 1.63 0.05
v 0.53 1.63 0.05
v 0.55 1.63 0.05
v 0.57 1.63 0.05
v 0.59 1.63 0.05
v 0.61 1.63 0.05
v 0.63 1.63 0.05
v 0.65 1.63 0.05
v 0.67 1.63 0.05
v 0.69 1.63 0.05
v 0.71 1.63 0.05
v 0.73 1.63 0.05
v 0.75 1.63 0.05
v 0.77 1.63 0.05
v 0.79 1.63 0.05
v 0.81 1.63 0.05
v 0.83 1.63 0.05
v 0.85 1.63 0.05
v 0.87 1.63 0.05
v 0.89 1.63 0.05
v 0.91 1.63 0.05
v 0.93 1.63 0.05
v 0.95 1.63 0.05
v 0.97 1.63 0.05
v 0.99 1.63 0.05
v 1.01 1.63 0.05
v 1.03 1.63 0.05
v 1.05 1.63 0.05
v 1.07 1.63 0.05
v 1.09 1.63 0.05
v 1.11 1.63 0.05
v 1.13 1.63 0.05
v 1.15 1.63 0.05
v 1.17 1.63 0.05
v 1.19 1.63 0.05
v 1.21 1.63 0.05
v 1.23 1.63 0.05
v 1.25 1.63 0.05
v 1.27 1.63 0.05
v 1.29 1.63 0.05
v 1.31 1.63 0.05
v 1.33 1.63 0.05
v 1.35 1.63 0.05
v 1.37 1.63 0.05
v 1.39 1.63 0.05
v 1.41 1.63 0.05
v 1.43 1.63 0.05
v 1.45 1.63 0.05
v 1.47 1.63 0.05
v 1.49 1.63 0.05
v 1.51 1.63 0.05
v 1.53 1.63 0.05
v 1.55 1.63 0.05
v 1.57 1.63 0.05
v 1.59 1.63 0.05
v 1.61 1.63 0.05
v 1.63 1.63 0.05
v 1.65 1.63 0.05
v 1.67 1.63 0.05
v 1.69 1.63 0.05
v 1.71 1.63 0.05
v 1.73 1.63 0.05
v 1.75 1.63 0.05
v 1.77 1.63 0.05
v 1.79 1.63 0.05
v 1.81 1.63 0.05
