vx vy vz
9.99233 -0.00205766 0
9.99475 -0.00951904 0
9.96315 0.0134254 0
9.93574 0.0306312 0
9.91256 0.0398401 0
9.9017 0.0291015 0
9.90611 0.0117405 0
9.91165 0.0116243 0
9.90113 0.0267432 0
9.87574 0.0344578 0
9.84927 0.0237212 0
9.83278 0.00730657 0
9.82417 0.0057045 0
9.81161 0.0244865 0
9.78569 0.0484863 0
9.74794 0.0565783 0
9.70801 0.0409234 0
9.67486 0.0129728 0
9.65062 -0.00718008 0
9.62968 -0.00675948 0
9.60176 0.0122299 0
9.55816 0.0377478 0
9.49679 0.0574323 0
9.42199 0.0654802 0
9.34045 0.0633614 0
9.25764 0.0561765 0
9.17648 0.0486391 0
9.09759 0.0431729 0
9.02025 0.0401454 0
8.94344 0.0389324 0
8.86645 0.0387552 0
8.78887 0.0390523 0
8.7105 0.0395265 0
8.63125 0.0400567 0
8.55107 0.0406075 0
8.46994 0.0411738 0
8.3878 0.0417577 0
8.30461 0.0423612 0
8.22034 0.0429856 0
8.13494 0.0436311 0
8.04837 0.0442981 0
7.96057 0.0449863 0
7.8715 0.0456958 0
7.78113 0.0464264 0
7.68939 0.047178 0
7.59626 0.0479502 0
7.50167 0.0487427 0
7.40558 0.0495552 0
7.30796 0.0503872 0
7.20875 0.0512381 0
7.1079 0.0521073 0
7.00539 0.052994 0
6.90115 0.0538973 0
6.79515 0.0548162 0
6.68736 0.0557497 0
6.57772 0.0566964 0
6.46621 0.057655 0
6.35278 0.0586241 0
6.23741 0.059602 0
6.12006 0.0605871 0
6.00071 0.0615775 0
5.87933 0.062571 0
5.75589 0.0635649 0
5.63039 0.0645569 0
5.50282 0.0655441 0
5.37315 0.0665256 0
5.2414 0.0674984 0
5.10758 0.0684627 0
4.97169 0.0694029 0
4.83376 0.0703057 0
4.6938 0.0711621 0
4.55184 0.0719663 0
4.40791 0.0727151 0
4.26207 0.0734052 0
4.11437 0.0740319 0
3.96487 0.0745906 0
3.81364 0.0750766 0
3.66075 0.0754861 0
3.50631 0.0758158 0
3.3504 0.0760632 0
3.19312 0.0762265 0
3.03457 0.0763052 0
2.87488 0.0762998 0
2.71414 0.0762123 0
2.55248 0.0760462 0
2.39002 0.0758066 0
2.22687 0.0755002 0
2.06314 0.0751356 0
1.89893 0.0747228 0
1.73436 0.0742736 0
1.5695 0.0738006 0
1.40443 0.073318 0
1.23924 0.07284 0
1.07397 0.0723814 0
0.90867 0.0719569 0
0.743369 0.0715797 0
0.57809 0.0712633 0
0.412838 0.0710089 0
0.247638 0.0708162 0
0.0824401 0.0707508 0
9.98116 0.0154644 0
9.9789 0.0461846 0
9.97074 0.0365396 0
9.98282 0.012781 0
9.98765 -0.00827014 0
9.97315 -0.021911 0
9.95541 -0.0213518 0
9.95006 -0.00790397 0
9.95633 0.00826302 0
9.95878 0.0176253 0
9.94588 0.0192409 0
9.92088 0.0173297 0
9.89717 0.014762 0
9.88482 0.012891 0
9.88207 0.0142247 0
9.87693 0.021256 0
9.85671 0.0330383 0
9.81911 0.0446934 0
9.77487 0.0517938 0
9.73915 0.0548174 0
9.72036 0.0582172 0
9.71566 0.0657071 0
9.71432 0.0771878 0
9.70454 0.089679 0
9.67866 0.100107 0
9.63515 0.107094 0
9.57715 0.110979 0
9.50956 0.112902 0
9.43664 0.113949 0
9.36113 0.114794 0
9.2844 0.115719 0
9.20702 0.116778 0
9.12907 0.117949 0
9.05053 0.119203 0
8.97133 0.120525 0
8.8914 0.121909 0
8.81068 0.123357 0
8.72913 0.12487 0
8.6467 0.12645 0
8.56334 0.128099 0
8.47899 0.129817 0
8.39362 0.131605 0
8.30716 0.133464 0
8.21957 0.135394 0
8.1308 0.137396 0
8.04078 0.13947 0
7.94948 0.141616 0
7.85682 0.143835 0
7.76277 0.146125 0
7.66726 0.148487 0
7.57024 0.150921 0
7.47165 0.153424 0
7.37144 0.155998 0
7.26954 0.158639 0
7.16591 0.161348 0
7.06048 0.164121 0
6.95319 0.166956 0
6.84399 0.169852 0
6.73283 0.172805 0
6.61963 0.175812 0
6.50436 0.178869 0
6.38694 0.181973 0
6.26732 0.185122 0
6.14546 0.18831 0
6.02129 0.191534 0
5.89477 0.194789 0
5.76584 0.198069 0
5.63445 0.201368 0
5.50055 0.20467 0
5.3641 0.207962 0
5.22505 0.211234 0
5.08337 0.214478 0
4.93904 0.217686 0
4.79201 0.220849 0
4.64226 0.223957 0
4.48976 0.226999 0
4.33452 0.229961 0
4.1765 0.232833 0
4.01572 0.235603 0
3.85217 0.23826 0
3.68587 0.240793 0
3.51684 0.243193 0
3.34511 0.24545 0
3.17073 0.247557 0
2.99374 0.249509 0
2.81421 0.2513 0
2.63222 0.252928 0
2.44786 0.254394 0
2.26122 0.255698 0
2.07242 0.256846 0
1.8816 0.257843 0
1.68888 0.258696 0
1.49444 0.259415 0
1.29844 0.260009 0
1.10105 0.260488 0
0.902474 0.260863 0
0.702911 0.261146 0
0.502577 0.26134 0
0.301679 0.261503 0
0.100332 0.261208 0
9.9694 0.0268765 0
9.98814 0.0122913 0
10.0071 0.010886 0
9.9903 0.0251818 0
9.94952 0.0520581 0
9.92143 0.0568893 0
9.90056 0.033102 0
9.8783 0.0113853 0
9.86548 0.0187131 0
9.87006 0.045261 0
9.88346 0.062305 0
9.89004 0.0574986 0
9.8796 0.0437277 0
9.85207 0.0412917 0
9.81511 0.0576003 0
9.7786 0.0823507 0
9.74911 0.0980567 0
9.72794 0.0940596 0
9.71326 0.0733727 0
9.70185 0.0497746 0
9.68919 0.038357 0
9.67041 0.0464578 0
9.64194 0.0712718 0
9.60224 0.103846 0
9.55151 0.134983 0
9.49138 0.159102 0
9.42436 0.174904 0
9.35297 0.183933 0
9.27899 0.188667 0
9.20351 0.191229 0
9.12709 0.192964 0
9.04998 0.194542 0
8.97221 0.196213 0
8.89376 0.198039 0
8.81457 0.200013 0
8.7346 0.202121 0
8.65378 0.204352 0
8.57209 0.206701 0
8.48947 0.209167 0
8.40587 0.21175 0
8.32125 0.214452 0
8.23557 0.217274 0
8.14877 0.220217 0
8.06082 0.223283 0
7.97166 0.226473 0
7.88124 0.229788 0
7.78952 0.233228 0
7.69645 0.236795 0
7.60198 0.240489 0
7.50605 0.244311 0
7.40863 0.248259 0
7.30966 0.252334 0
7.2091 0.256536 0
7.10689 0.260863 0
7.00298 0.265315 0
6.89733 0.269889 0
6.78989 0.274583 0
6.68062 0.279395 0
6.56945 0.284322 0
6.45635 0.289359 0
6.34128 0.294505 0
6.22418 0.299754 0
6.10502 0.305102 0
5.98374 0.310545 0
5.86032 0.316077 0
5.73471 0.32169 0
5.60687 0.327376 0
5.47676 0.333122 0
5.34436 0.338925 0
5.20961 0.344778 0
5.07251 0.350671 0
4.93302 0.356594 0
4.79112 0.362534 0
4.64678 0.368476 0
4.49998 0.374405 0
4.3507 0.380306 0
4.19894 0.386162 0
4.04469 0.391955 0
3.88793 0.397669 0
3.72868 0.403284 0
3.56694 0.408784 0
3.40272 0.414148 0
3.23605 0.419358 0
3.06694 0.424395 0
2.89545 0.429241 0
2.7216 0.433877 0
2.54547 0.438286 0
2.36712 0.442451 0
2.18663 0.446356 0
2.00409 0.449986 0
1.81961 0.453329 0
1.63332 0.456371 0
1.44535 0.4591 0
1.25586 0.461508 0
1.06501 0.463586 0
0.872981 0.465324 0
0.67997 0.466719 0
0.48617 0.467766 0
0.291838 0.468554 0
0.0970485 0.468207 0
9.89505 0.0705364 0
9.88933 -0.0074843 0
9.92306 0.0311931 0
9.92966 0.0663776 0
9.92179 0.0543467 0
9.90865 0.0322382 0
9.8945 0.0267944 0
9.87836 0.0268542 0
9.86676 0.01523 0
9.86429 -0.00132379 0
9.86576 -0.00235708 0
9.86135 0.0193086 0
9.8478 0.0508319 0
9.8315 0.0750494 0
9.8202 0.0856981 0
9.81349 0.0871041 0
9.80301 0.0846786 0
9.78103 0.0805981 0
9.74756 0.076683 0
9.70917 0.0772297 0
9.67213 0.0875945 0
9.63775 0.11023 0
9.60298 0.142342 0
9.56336 0.177378 0
9.51568 0.208714 0
9.45925 0.232517 0
9.39544 0.248298 0
9.32648 0.257744 0
9.25422 0.263192 0
9.1799 0.2666 0
9.10422 0.269208 0
9.02752 0.271644 0
8.94995 0.274156 0
8.87154 0.27682 0
8.79229 0.279647 0
8.71219 0.282635 0
8.63121 0.285781 0
8.5493 0.289086 0
8.46643 0.292549 0
8.38256 0.296174 0
8.29764 0.299963 0
8.21162 0.303916 0
8.12445 0.308037 0
8.0361 0.312327 0
7.9465 0.316786 0
7.85561 0.321417 0
7.76338 0.32622 0
7.66977 0.331196 0
7.57472 0.336346 0
7.47818 0.341669 0
7.38011 0.347165 0
7.28045 0.352835 0
7.17916 0.358677 0
7.07618 0.36469 0
6.97147 0.370873 0
6.86499 0.377223 0
6.75667 0.383737 0
6.64648 0.390414 0
6.53437 0.397248 0
6.4203 0.404236 0
6.30421 0.411373 0
6.18608 0.418653 0
6.06586 0.426069 0
5.94351 0.433614 0
5.81899 0.441279 0
5.69228 0.449054 0
5.56333 0.456929 0
5.43211 0.464894 0
5.29861 0.472937 0
5.1628 0.481046 0
5.02466 0.489205 0
4.88416 0.497398 0
4.74131 0.505607 0
4.59608 0.513814 0
4.44848 0.522001 0
4.29851 0.530148 0
4.14617 0.538235 0
3.99147 0.546242 0
3.83442 0.554148 0
3.67505 0.561929 0
3.51338 0.569564 0
3.34944 0.577029 0
3.18329 0.5843 0
3.01495 0.591353 0
2.84448 0.598163 0
2.67195 0.604706 0
2.49742 0.610956 0
2.32097 0.61689 0
2.14269 0.622483 0
1.96267 0.62771 0
1.78102 0.632549 0
1.59785 0.636977 0
1.41329 0.640972 0
1.22747 0.644517 0
1.04054 0.647592 0
0.85265 0.650182 0
0.663961 0.652272 0
0.474628 0.653842 0
0.284879 0.654993 0
