vx vy vz
9.98946 0.0210139 0
9.9672 0.0352578 0
9.93783 0.041595 0
9.90053 0.0459577 0
9.85762 0.0499156 0
9.8107 0.0536492 0
9.76006 0.0571276 0
9.70555 0.060385 0
9.64723 0.0634776 0
9.58521 0.0664391 0
9.5196 0.0692859 0
9.45042 0.0720316 0
9.37767 0.0746908 0
9.30133 0.0772783 0
9.22136 0.0798077 0
9.13773 0.0822917 0
9.05038 0.0847425 0
8.95922 0.0871724 0
8.86416 0.0895933 0
8.76511 0.0920168 0
8.66194 0.0944541 0
8.55451 0.0969158 0
8.44266 0.0994121 0
8.32625 0.101952 0
8.20507 0.104544 0
8.07893 0.107197 0
7.94761 0.109915 0
7.81089 0.112706 0
7.66851 0.115571 0
7.52021 0.118515 0
7.36572 0.121535 0
7.20475 0.12463 0
7.037 0.127793 0
6.86216 0.131014 0
6.67994 0.134278 0
6.49003 0.137562 0
6.29215 0.140836 0
6.08604 0.14406 0
5.87146 0.147184 0
5.64825 0.15014 0
5.41632 0.152845 0
5.17566 0.155197 0
4.92643 0.157074 0
4.6689 0.158337 0
4.40357 0.158828 0
4.13115 0.158384 0
3.85257 0.156841 0
3.56905 0.154052 0
3.28206 0.149901 0
2.99335 0.14433 0
2.70486 0.137351 0
2.41874 0.129069 0
2.13722 0.119692 0
1.86255 0.109537 0
1.59685 0.0990147 0
1.34203 0.0886096 0
1.09963 0.0788455 0
0.870705 0.0702386 0
0.655754 0.06324 0
0.454689 0.0581692 0
0.266886 0.0551328 0
0.0912886 0.0539529 0
-0.0734559 0.0541416 0
-0.228614 0.0550226 0
-0.375531 0.0559184 0
-0.515078 0.0564805 0
-0.647925 0.0561986 0
-0.77464 0.054932 0
-0.895368 0.0528163 0
-1.01026 0.0502042 0
-1.11944 0.0474479 0
-1.22306 0.0447021 0
-1.32137 0.0420668 0
-1.41486 0.0398548 0
-1.5045 0.0386099 0
-1.59227 0.0392084 0
-1.68154 0.0430547 0
-1.77749 0.052066 0
-1.88753 0.0679192 0
-2.02048 0.0901004 0
-2.18299 0.113724 0
-2.37379 0.129987 0
-2.58005 0.130871 0
-2.77994 0.114636 0
-2.95103 0.0861609 0
-3.07852 0.0524999 0
-3.15759 0.0198047 0
-3.18778 -0.00888452 0
-3.1706 -0.0331567 0
-3.12076 -0.0543596 0
-3.03139 -0.0765434 0
-2.90101 -0.1005 0
-2.72649 -0.126939 0
-2.506 -0.15631 0
-2.23742 -0.189057 0
-1.914 -0.225531 0
-1.52202 -0.265123 0
-1.0565 -0.298725 0
-0.56061 -0.286501 0
-0.148724 -0.141498 0
10.0046 0.0069171 0
10.0194 0.0168764 0
10.0354 0.0234537 0
10.0502 0.0288513 0
10.0639 0.0340618 0
10.0769 0.0390868 0
10.0892 0.0438401 0
10.1004 0.048403 0
10.1103 0.0528964 0
10.1189 0.0573902 0
10.126 0.0619154 0
10.1315 0.0664952 0
10.1354 0.0711541 0
10.1375 0.0759156 0
10.1378 0.0808002 0
10.136 0.0858264 0
10.1321 0.0910127 0
10.126 0.0963777 0
10.1176 0.101941 0
10.1068 0.107722 0
10.0934 0.113743 0
10.0773 0.120025 0
10.0583 0.126592 0
10.0362 0.13347 0
10.011 0.140684 0
9.98234 0.148263 0
9.95003 0.156235 0
9.91384 0.164632 0
9.87347 0.173486 0
9.8286 0.182828 0
9.7789 0.192692 0
9.72396 0.203111 0
9.66335 0.214116 0
9.59658 0.225737 0
9.5231 0.237998 0
9.44231 0.250918 0
9.35355 0.264506 0
9.25609 0.278759 0
9.14914 0.293655 0
9.03183 0.309151 0
8.90323 0.325173 0
