vx vy vz
9.98924 0.0213868 0
9.96563 0.0364044 0
9.93369 0.0435839 0
9.89254 0.0488677 0
9.8445 0.0538159 0
9.79117 0.0585981 0
9.73276 0.0631786 0
9.66908 0.0675922 0
9.60009 0.0718973 0
9.52583 0.0761311 0
9.44631 0.0803149 0
9.36146 0.0844681 0
9.27113 0.0886135 0
9.17516 0.092775 0
9.07337 0.0969776 0
8.9655 0.101248 0
8.85129 0.105614 0
8.73041 0.11011 0
8.60246 0.11477 0
8.46701 0.119635 0
8.32353 0.12475 0
8.17143 0.130164 0
8.01004 0.135933 0
7.83856 0.142116 0
7.6561 0.148775 0
7.46166 0.155976 0
7.25409 0.163779 0
7.03213 0.172236 0
6.79441 0.181379 0
6.53945 0.191206 0
6.26573 0.20166 0
5.97175 0.2126 0
5.65613 0.223771 0
5.31776 0.234758 0
4.95602 0.244947 0
4.57097 0.2535 0
4.16366 0.259351 0
3.73639 0.261232 0
3.29303 0.257769 0
2.83915 0.24765 0
2.38208 0.229873 0
1.93082 0.204053 0
1.49558 0.170749 0
1.08714 0.131737 0
0.715888 0.0901164 0
0.390766 0.050143 0
0.117101 0.0172182 0
-0.103212 -0.00389804 0
-0.279204 -0.00967099 0
-0.424249 -0.0010346 0
-0.545461 0.0125646 0
-0.648213 0.0211885 0
-0.735993 0.0219889 0
-0.811143 0.0176686 0
-0.874828 0.0121034 0
-0.927221 0.00817427 0
-0.970007 0.00809762 0
-1.00839 0.0134804 0
-1.05064 0.0232164 0
-1.10375 0.0327863 0
-1.16898 0.0367488 0
-1.24099 0.0316059 0
-1.30858 0.0165492 0
-1.35491 -0.00864503 0
-1.35928 -0.0440657 0
-1.30685 -0.0902779 0
-1.17971 -0.147598 0
-0.958006 -0.215841 0
-0.634468 -0.289162 0
-0.221074 -0.35405 0
0.259659 -0.388506 0
0.758924 -0.374208 0
1.20802 -0.304118 0
1.52604 -0.184182 0
1.658 -0.0230522 0
1.49464 0.122774 0
1.14203 0.189244 0
0.788416 0.153541 0
0.49456 0.0696905 0
0.11394 0.158542 0
-0.606994 0.392401 0
-1.52796 0.544732 0
-2.48572 0.579082 0
-3.3674 0.52076 0
-4.10206 0.408767 0
-4.6544 0.274119 0
-5.01501 0.138588 0
-5.1845 0.0151655 0
-5.169 -0.090983 0
-5.00714 -0.183092 0
