vx vy vz
9.98928 0.0213158 0
9.96592 0.036188 0
9.93447 0.0432124 0
9.89403 0.0483323 0
9.84693 0.0531126 0
9.79475 0.0577278 0
9.73769 0.0621469 0
9.67556 0.066408 0
9.60829 0.0705733 0
9.53593 0.0746838 0
9.45846 0.0787646 0
9.37578 0.0828398 0
9.28771 0.0869366 0
9.19408 0.0910846 0
9.09464 0.0953149 0
8.9891 0.0996611 0
8.87714 0.104161 0
8.75835 0.108856 0
8.63225 0.113795 0
8.4983 0.119031 0
8.35586 0.124626 0
8.20419 0.130648 0
8.04242 0.137174 0
7.86955 0.144287 0
7.68444 0.152074 0
7.4858 0.160623 0
7.27215 0.170013 0
7.04188 0.180308 0
6.79322 0.191532 0
6.5243 0.203645 0
6.23325 0.216512 0
5.91832 0.229855 0
5.57802 0.243199 0
5.21142 0.25581 0
4.81838 0.26665 0
4.39994 0.27437 0
3.95866 0.277353 0
3.49897 0.273836 0
3.02739 0.262139 0
2.55258 0.241008 0
2.08513 0.210038 0
1.63705 0.1701 0
1.22089 0.123693 0
0.848663 0.0750608 0
0.530316 0.0299354 0
0.271927 -0.00517635 0
0.0675243 -0.0241604 0
-0.0918511 -0.020647 0
-0.220119 -0.00561615 0
-0.328991 0.0104088 0
-0.420565 0.0183231 0
-0.498606 0.0182303 0
-0.565878 0.0140816 0
-0.623988 0.00860242 0
-0.672756 0.00223957 0
-0.710317 -0.00514538 0
-0.734637 -0.0124881 0
-0.74621 -0.0169009 0
-0.749904 -0.0145515 0
-0.754899 -0.00343018 0
-0.772515 0.0145291 0
-0.812574 0.0344062 0
-0.878881 0.0499432 0
-0.966904 0.0553125 0
-1.06432 0.0471157 0
-1.15218 0.025399 0
-1.20703 -0.00821658 0
-1.20665 -0.0505066 0
-1.14279 -0.0988696 0
-1.00766 -0.151838 0
-0.793419 -0.207405 0
-0.505243 -0.25814 0
-0.163014 -0.291626 0
0.202559 -0.29241 0
0.543969 -0.249089 0
0.803827 -0.164901 0
0.950805 -0.0402618 0
0.879489 0.0781721 0
0.652501 0.128072 0
0.434561 0.0902693 0
0.279672 0.0312908 0
0.0561702 0.0947854 0
-0.422369 0.269732 0
-1.06613 0.387717 0
-1.74605 0.413084 0
-2.36577 0.359619 0
-2.86284 0.25875 0
-3.19958 0.137105 0
-3.35746 0.0152742 0
-3.32981 -0.0948054 0
-3.15045 -0.191626 0
-2.8262 -0.283421 0
-2.35779 -0.371171 0
-1.76288 -0.446179 0
-1.07863 -0.489756 0
-0.366703 -0.477842 0
0.247266 -0.401578 0
0.673152 -0.186845 0
0.727253 0.104943 0
0.351459 0.253513 0
10.0047 0.0074639 0
10.0197 0.0185054 0
10.0359 0.0261784 0
10.0507 0.032713 0
10.0644 0.0391145 0
10.0773 0.0453933 0
10.0893 0.0514764 0
10.1002 0.0574628 0
10.1096 0.0634926 0
10.1174 0.0696568 0
10.1236 0.07601 0
10.1279 0.0826022 0
10.1302 0.0894891 0
10.1303 0.0967297 0
10.1281 0.104386 0
10.1233 0.112526 0
10.1157 0.121226 0
10.105 0.130574 0
10.091 0.140669 0
10.0734 0.151629 0
10.0518 0.16359 0
10.0257 0.176711 0
9.99465 0.191178 0
9.95801 0.207203 0
9.91503 0.225028 0
9.8648 0.244928 0
9.8062 0.2672 0
9.73786 0.292161 0
9.65808 0.320128 0
9.56481 0.351387 0
9.45554 0.386155 0
9.32727 0.424512 0
9.17643 0.466321 0
8.99897 0.511119 0
8.79036 0.558008 0
8.54584 0.605546 0
8.26067 0.651665 0
7.93064 0.693657 0
7.55259 0.728255 0
7.12509 0.751861 0
6.649 0.760917 0
6.12796 0.752408 0
5.56863 0.724414 0
4.9807 0.676642 0
4.37666 0.610782 0
3.77165 0.530836 0
3.18307 0.442848 0
2.62908 0.355796 0
2.12947 0.277888 0
1.69572 0.215804 0
1.32869 0.171863 0
1.02 0.143761 0
0.758373 0.12595 0
0.534336 0.112015 0
