vx vy vz
9.98944 0.021044 0
9.96707 0.0353464 0
9.93751 0.041744 0
9.89991 0.0461706 0
9.85663 0.050197 0
9.80924 0.0540045 0
9.75802 0.0575638 0
9.70285 0.0609108 0
9.64373 0.0641029 0
9.5808 0.0671747 0
9.51413 0.070143 0
9.44375 0.0730209 0
9.36963 0.0758223 0
9.29173 0.0785604 0
9.21003 0.0812469 0
9.12446 0.0838921 0
9.03495 0.0865062 0
8.94142 0.0890995 0
8.84377 0.0916821 0
8.74187 0.094265 0
8.63559 0.0968594 0
8.52479 0.0994774 0
8.4093 0.102132 0
8.28891 0.104835 0
8.16343 0.107603 0
8.03261 0.110449 0
7.89619 0.113388 0
7.75389 0.116437 0
7.60538 0.119608 0
7.45033 0.122916 0
7.28835 0.126372 0
7.11906 0.129984 0
6.94201 0.133755 0
6.75678 0.137683 0
6.56289 0.141756 0
6.35988 0.145949 0
6.14731 0.150223 0
5.92474 0.154522 0
5.69179 0.158763 0
5.44819 0.16284 0
5.19373 0.166616 0
4.92842 0.169923 0
4.65242 0.172558 0
4.36617 0.174292 0
4.07041 0.174875 0
3.76622 0.174047 0
3.45507 0.171563 0
3.13883 0.167216 0
2.81976 0.16087 0
2.50052 0.152494 0
2.18403 0.142197 0
1.87343 0.130253 0
1.57191 0.11711 0
1.28251 0.103387 0
1.00792 0.0898391 0
0.750283 0.0772958 0
0.510932 0.0665728 0
0.290309 0.0583398 0
0.0878473 0.0529635 0
-0.0977958 0.0503259 0
-0.268471 0.0497511 0
-0.426313 0.0503657 0
-0.573111 0.0513473 0
-0.710328 0.0518502 0
-0.839156 0.0514004 0
-0.960528 0.0499784 0
-1.07518 0.0478606 0
-1.18361 0.0452929 0
-1.28601 0.0422385 0
-1.38221 0.0384163 0
-1.47123 0.0333096 0
-1.55135 0.0262526 0
-1.62036 0.0169663 0
-1.67652 0.0064468 0
-1.72093 -0.00192137 0
-1.76067 -0.00203712 0
-1.81056 0.0127783 0
-1.89104 0.0449879 0
-2.02099 0.0888024 0
-2.20745 0.131204 0
-2.43976 0.158889 0
-2.69446 0.165992 0
-2.94645 0.155611 0
-3.17698 0.134575 0
-3.37476 0.107815 0
-3.53433 0.0778715 0
-3.65146 0.045823 0
-3.72082 0.0128246 0
-3.73633 -0.0195382 0
-3.69802 -0.0505739 0
-3.61272 -0.0817062 0
-3.47181 -0.11599 0
-3.27139 -0.154174 0
-3.00665 -0.196728 0
-2.67098 -0.24358 0
-2.25239 -0.293853 0
-1.73856 -0.342355 0
-1.1417 -0.366196 0
-0.536274 -0.30462 0
-0.0890051 -0.0875861 0
10.0046 0.00697405 0
10.0194 0.0170391 0
10.0354 0.0237173 0
10.0502 0.0292152 0
10.0638 0.0345278 0
10.0768 0.0396584 0
10.0891 0.0445233 0
